id,status_group,amount_tsh,date_recorded,funder,gps_height,installer,longitude,latitude,wpt_name,num_private,basin,subvillage,region,region_code,district_code,lga,ward,population,public_meeting,recorded_by,scheme_management,scheme_name,permit,construction_year,extraction_type,extraction_type_group,extraction_type_class,management,management_group,payment,payment_type,water_quality,quality_group,quantity,quantity_group,source,source_type,source_class,waterpoint_type,waterpoint_type_group,water_per_person,unknown_construction_yr,age_at_inspection
34169,functional needs repair,0.0,2011-07-22,Hesawa,1162,DWE,32.92015381,-1.94786801,Ngomee,0,Lake Victoria,Center,Mwanza,19,1,Ukerewe,Ilangala,1000.0,Unknown,GeoData Consultants Ltd,Unknown,,True,1999.0,other,other,other,vwc,user-group,never pay,never pay,milky,milky,insufficient,insufficient,spring,spring,groundwater,other,other,0.0,False,12.0
58500,functional needs repair,0.0,2011-10-04,Unicef,1510,DWE,34.58690108,-8.98001429,Shuleni,0,Rufiji,Mkanivega,Iringa,11,4,Njombe,Usuka,350.0,True,GeoData Consultants Ltd,WUA,wanging'ombe water supply s,True,1978.0,gravity,gravity,gravity,wua,user-group,never pay,never pay,soft,good,enough,enough,river,river/lake,surface,communal standpipe,communal standpipe,0.0,False,33.0
22308,functional needs repair,0.0,2013-02-25,Government Of Tanzania,1273,DWE,37.42275132,-3.31753648,Kwa Tukai,0,Pangani,Kitereni,Kilimanjaro,3,4,Moshi Rural,Kimochi,140.0,True,GeoData Consultants Ltd,VWC,Komaka mandaka,True,1974.0,gravity,gravity,gravity,vwc,user-group,unknown,unknown,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe,0.0,False,39.0
57238,functional needs repair,0.0,2013-03-19,Government Of Tanzania,1481,DWE,37.49233371,-3.29062725,Kwa Philip Lyimo,0,Pangani,Mosheni,Kilimanjaro,3,4,Moshi Rural,Kilema  Kati,180.0,False,GeoData Consultants Ltd,Other,Mae pipeline,True,1972.0,gravity,gravity,gravity,other,other,never pay,never pay,soft,good,insufficient,insufficient,river,river/lake,surface,other,other,0.0,False,41.0
1843,functional needs repair,20.0,2013-03-18,Government Of Tanzania,1007,DWE,36.80607857,-3.47855934,Kwa Bariki,0,Pangani,Marurani Juu,Arusha,2,2,Arusha Rural,Nduruma,100.0,True,GeoData Consultants Ltd,VWC,Machumba estate pipe line,True,2000.0,gravity,gravity,gravity,vwc,user-group,pay per bucket,per bucket,soft,good,insufficient,insufficient,spring,spring,groundwater,communal standpipe,communal standpipe,0.2,False,13.0
45111,functional needs repair,20.0,2013-02-05,Lga,240,LGA,39.08741514,-11.00060373,Mikoroshini,0,Ruvuma / Southern Coast,Kachulu,Mtwara,90,33,Masasi,Sindano,30.0,True,GeoData Consultants Ltd,VWC,,True,2004.0,gravity,gravity,gravity,vwc,user-group,pay per bucket,per bucket,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe,0.6666666666666666,False,9.0
31714,functional needs repair,0.0,2011-07-07,Government Of Tanzania,0,DWE,31.45428168,-1.56388609,Kwa Mzee Max,0,Lake Victoria,Izimbya 'A',Kagera,18,2,Bukoba Rural,Izimbya,,True,GeoData Consultants Ltd,VWC,,True,,swn 80,swn 80,handpump,vwc,user-group,never pay,never pay,soft,good,enough,enough,shallow well,shallow well,groundwater,hand pump,hand pump,,True,
2127,functional needs repair,500.0,2013-01-16,Norad,954,RWE,29.66972029,-4.77975837,Kwa Jakata,0,Lake Tanganyika,Kiganza Centre,Kigoma,16,3,Kigoma Rural,Kagongo,567.0,True,GeoData Consultants Ltd,VWC,Mkongoro One,True,1985.0,gravity,gravity,gravity,vwc,user-group,pay monthly,monthly,soft,good,enough,enough,river,river/lake,surface,communal standpipe multiple,communal standpipe,0.8818342151675485,False,28.0
65531,functional needs repair,0.0,2011-03-04,Roman,427,Roman,37.72295310000001,-7.02426273,Kwa Mzee Zewe,0,Wami / Ruvu,Dongo,Morogoro,5,2,Morogoro Rural,Tawa,100.0,True,GeoData Consultants Ltd,VWC,Tawa,True,2004.0,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,enough,enough,river,river/lake,surface,communal standpipe,communal standpipe,0.0,False,7.0
22143,functional needs repair,0.0,2011-04-11,Water,0,Commu,35.87817211,-5.89186837,Ofisini,0,Wami / Ruvu,Juhudi,Dodoma,1,5,Dodoma Urban,Chihanga,,True,GeoData Consultants Ltd,VWC,Gawa,False,,mono,mono,motorpump,vwc,user-group,pay per bucket,per bucket,soft,good,insufficient,insufficient,machine dbh,borehole,groundwater,communal standpipe multiple,communal standpipe,,True,
43237,functional needs repair,200.0,2013-01-17,Isf/tacare,1002,ISF and TACARE,29.67098869,-4.7268496,Muungano,0,Lake Tanganyika,Kilundo,Kigoma,16,3,Kigoma Rural,Mwamgongo,120.0,True,GeoData Consultants Ltd,WUG,Chankele/Bubango water project,True,2006.0,gravity,gravity,gravity,vwc,user-group,pay monthly,monthly,soft,good,enough,enough,river,river/lake,surface,communal standpipe,communal standpipe,1.6666666666666667,False,7.0
33379,functional needs repair,0.0,2013-02-19,Danida,1000,DWE,35.54217277,-10.80885305,Kwa Mathiasi,0,Ruvuma / Southern Coast,Msewo Mwaazi,Ruvuma,10,2,Songea Rural,Mpitimbi,,True,GeoData Consultants Ltd,VWC,Mradi wa maji wa mpitimbi,True,1978.0,gravity,gravity,gravity,vwc,user-group,pay when scheme fails,on failure,soft,good,enough,enough,river,river/lake,surface,communal standpipe,communal standpipe,,False,35.0
39364,functional needs repair,50.0,2013-02-13,Kiuma,701,KIUMA,36.95075936,-11.31324316,Mdabwa Primary School,0,Ruvuma / Southern Coast,Nguvumali,Ruvuma,10,1,Tunduru,Marumba,1.0,True,GeoData Consultants Ltd,VWC,Mbati Water Supply,False,2011.0,submersible,submersible,submersible,vwc,user-group,pay per bucket,per bucket,soft,good,enough,enough,machine dbh,borehole,groundwater,communal standpipe multiple,communal standpipe,50.0,False,2.0
73769,functional needs repair,0.0,2011-08-02,Sw,0,SW,31.65326799,-1.59857903,Kashasha,0,Lake Victoria,Busiiko,Kagera,18,3,Muleba,Ruhanga,,True,GeoData Consultants Ltd,VWC,,True,,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,enough,enough,spring,spring,groundwater,improved spring,improved spring,,True,
23519,functional needs repair,0.0,2012-10-19,World Vision,0,World vision,32.17244285,-3.64330972,Kwa Karoli B,0,Lake Tanganyika,Kwa Karoli,Shinyanga,17,5,Bukombe,Masumbwe,,Unknown,GeoData Consultants Ltd,WUG,,True,,other,other,other,wug,user-group,unknown,unknown,soft,good,enough,enough,shallow well,shallow well,groundwater,other,other,,True,
67428,functional needs repair,0.0,2011-04-12,Danida,0,DANIDA,33.72402918,-8.93211477,Kwa Njale,0,Rufiji,Nyalwela,Mbeya,12,2,Mbeya Rural,Ilungu,,False,GeoData Consultants Ltd,VWC,,False,,gravity,gravity,gravity,wug,user-group,pay when scheme fails,on failure,soft,good,enough,enough,river,river/lake,surface,communal standpipe,communal standpipe,,True,
8879,functional needs repair,0.0,2012-10-10,Adb,0,DWE,33.78466711,-3.72624692,Shule,0,Internal,Bulilwa,Shinyanga,17,8,Kishapu,Mwamashele,,False,GeoData Consultants Ltd,Parastatal,,False,,gravity,gravity,gravity,parastatal,parastatal,unknown,unknown,soft,good,seasonal,seasonal,rainwater harvesting,rainwater harvesting,surface,communal standpipe,communal standpipe,,True,
10068,functional needs repair,0.0,2011-07-27,Jbg,0,JBG,30.49985221,-2.5554993,Kikoko,0,Lake Victoria,Mumigezi,Kagera,18,30,Ngara,Mugoma,,True,GeoData Consultants Ltd,VWC,,False,,gravity,gravity,gravity,vwc,user-group,never pay,never pay,coloured,colored,insufficient,insufficient,spring,spring,groundwater,other,other,,True,
37008,functional needs repair,1000.0,2013-03-03,Isf,1055,ISF,37.82287905,-4.14888473,Nasuro Primary,0,Pangani,Nasuro B,Kilimanjaro,3,3,Same,Mwembe,450.0,True,GeoData Consultants Ltd,Water authority,,True,2011.0,gravity,gravity,gravity,water board,user-group,pay monthly,monthly,soft,good,insufficient,insufficient,spring,spring,groundwater,communal standpipe,communal standpipe,2.2222222222222223,False,2.0
48752,functional needs repair,0.0,2013-04-04,Government Of Tanzania,744,Government,37.35509612,-3.40154092,Msikitini,0,Pangani,Kijijini,Kilimanjaro,3,4,Moshi Rural,Mabogini,1.0,True,GeoData Consultants Ltd,Water authority,Coffee curing-Kahe pipeline,True,1976.0,gravity,gravity,gravity,water authority,commercial,pay monthly,monthly,soft,good,insufficient,insufficient,spring,spring,groundwater,communal standpipe,communal standpipe,0.0,False,37.0
28740,functional needs repair,0.0,2011-04-10,Kkkt,0,KKKT,33.10623082,-9.03216574,Steven Filiward,0,Lake Rukwa,Shuleni,Mbeya,12,6,Mbozi,Ruanda,,True,GeoData Consultants Ltd,VWC,,False,,nira/tanira,nira/tanira,handpump,vwc,user-group,pay when scheme fails,on failure,soft,good,enough,enough,shallow well,shallow well,groundwater,hand pump,hand pump,,True,
53212,functional needs repair,0.0,2013-03-21,Government Of Tanzania,1661,Government,37.95878138,-4.43495404,Kwa Laurent,0,Pangani,Ngujini,Kilimanjaro,3,3,Same,Kirangare,140.0,True,GeoData Consultants Ltd,Water authority,Kilotweni water supply,True,2002.0,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,insufficient,insufficient,spring,spring,groundwater,communal standpipe,communal standpipe,0.0,False,11.0
14746,functional needs repair,0.0,2013-01-16,,1641,,34.98778437,-4.64321463,Kibaoni,0,Internal,Ccm,Singida,13,2,Singida Rural,Maghojea,1.0,True,GeoData Consultants Ltd,VWC,M,Unknown,2000.0,submersible,submersible,submersible,vwc,user-group,unknown,unknown,unknown,unknown,dry,dry,machine dbh,borehole,groundwater,communal standpipe,communal standpipe,0.0,False,13.0
4907,functional needs repair,500.0,2011-02-27,World Bank,373,Gwasco L,37.50789059,-6.26635194,Kwa Makumba,0,Wami / Ruvu,Zahanati,Morogoro,5,6,Mvomero,Hembeti,1.0,True,GeoData Consultants Ltd,VWC,Dimamba,True,2005.0,gravity,gravity,gravity,vwc,user-group,pay monthly,monthly,soft,good,enough,enough,river,river/lake,surface,communal standpipe,communal standpipe,500.0,False,6.0
49994,functional needs repair,0.0,2011-04-14,Government Of Tanzania,0,Government,33.0591187,-8.568394699999999,Dume La Nyani,0,Lake Rukwa,Kanga A,Mbeya,12,1,Chunya,Kanga,,True,GeoData Consultants Ltd,VWC,,True,,gravity,gravity,gravity,vwc,user-group,pay monthly,monthly,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe,,True,
13042,functional needs repair,0.0,2012-10-29,Hesawa,0,DWE,0.0,-2e-08,Kwakisusi,0,Lake Victoria,Nyamatala,Mwanza,19,2,Magu,Malili,,True,GeoData Consultants Ltd,Unknown,,True,,nira/tanira,nira/tanira,handpump,vwc,user-group,never pay,never pay,soft,good,insufficient,insufficient,shallow well,shallow well,groundwater,hand pump,hand pump,,True,
62720,functional needs repair,250.0,2013-02-14,Dwe,1572,DWE,30.12658076,-4.43681809,Mgunga,0,Lake Tanganyika,Magomeni,Kigoma,16,2,Kasulu,Msambara,320.0,True,GeoData Consultants Ltd,Water authority,,True,2008.0,gravity,gravity,gravity,water board,user-group,pay monthly,monthly,soft,good,enough,enough,spring,spring,groundwater,improved spring,improved spring,0.78125,False,5.0
18842,functional needs repair,0.0,2011-07-22,Co,1886,DWE,31.35287524,-7.68709583,Shule Ya Msingi,0,Lake Rukwa,Fuzi,Rukwa,15,3,Nkasi,Chala,1.0,False,GeoData Consultants Ltd,VWC,,False,1984.0,ksb,submersible,submersible,vwc,user-group,never pay,never pay,unknown,unknown,enough,enough,river,river/lake,surface,communal standpipe,communal standpipe,0.0,False,27.0
8633,functional needs repair,500.0,2013-02-03,Government Of Tanzania,991,DWE,30.39148972,-5.10506992,Kwa Lugai,0,Lake Tanganyika,Mnazi Mmoja,Kigoma,16,3,Kigoma Rural,Uvinza,150.0,False,GeoData Consultants Ltd,VWC,Nyanza water project,True,1997.0,gravity,gravity,gravity,vwc,user-group,pay monthly,monthly,soft,good,insufficient,insufficient,river,river/lake,surface,communal standpipe multiple,communal standpipe,3.3333333333333335,False,16.0
28945,functional needs repair,0.0,2011-08-04,,0,,33.59620292,-9.3522683,Kwa Laitoni,0,Lake Nyasa,Mpuga,Mbeya,12,4,Rungwe,Kisondela,,True,GeoData Consultants Ltd,VWC,K,Unknown,,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,insufficient,insufficient,river,river/lake,surface,communal standpipe,communal standpipe,,True,
5074,functional needs repair,0.0,2013-02-21,Government Of Tanzania,1773,DWE,35.25506862,-4.30052711,Kwa Gaashe,0,Internal,Sirigadi,Manyara,21,1,Babati,Ufana,150.0,True,GeoData Consultants Ltd,VWC,,True,2010.0,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,enough,enough,river,river/lake,surface,communal standpipe,communal standpipe,0.0,False,3.0
35649,functional needs repair,0.0,2011-04-04,,0,,34.29424585,-8.642195599999999,Kwa Malanje,0,Rufiji,Ikulu,Mbeya,12,7,Mbarali,Ubaruku,,True,GeoData Consultants Ltd,VWC,,True,,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,seasonal,seasonal,river,river/lake,surface,communal standpipe,communal standpipe,,True,
15840,functional needs repair,0.0,2013-02-02,Fini Water,-40,Fini Water,40.11676805,-10.28367558,Bombani Kwa Chananda,0,Ruvuma / Southern Coast,Mkundi,Mtwara,9,5,Urban,Magengeni,270.0,True,GeoData Consultants Ltd,Unknown,,False,,nira/tanira,nira/tanira,handpump,vwc,user-group,never pay,never pay,salty,salty,insufficient,insufficient,shallow well,shallow well,groundwater,hand pump,hand pump,0.0,True,
45415,functional needs repair,0.0,2013-01-22,Dwsp,0,DWE,0.0,-2e-08,Upendo,0,Lake Victoria,Sunzula Madukani,Shinyanga,17,1,Bariadi,Zagayu,,Unknown,GeoData Consultants Ltd,WUG,,False,,nira/tanira,nira/tanira,handpump,wug,user-group,unknown,unknown,soft,good,enough,enough,shallow well,shallow well,groundwater,hand pump,hand pump,,True,
68887,functional needs repair,0.0,2011-04-08,,0,,34.33972708,-8.61393801,Kwa Mzee Ini,0,Rufiji,Nyati,Mbeya,12,7,Mbarali,Rujewa,,False,GeoData Consultants Ltd,Water Board,,True,,swn 80,swn 80,handpump,water board,user-group,never pay,never pay,salty,salty,enough,enough,machine dbh,borehole,groundwater,hand pump,hand pump,,True,
65238,functional needs repair,0.0,2013-02-11,Government Of Tanzania,1549,Government,34.67761089,-5.04209532,Zahanati,0,Internal,Ufantamie,Singida,13,2,Singida Rural,Ihanja,1.0,Unknown,GeoData Consultants Ltd,Unknown,,True,2010.0,mono,mono,motorpump,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,machine dbh,borehole,groundwater,communal standpipe,communal standpipe,0.0,False,3.0
17897,functional needs repair,0.0,2011-03-29,Government Of Tanzania,0,Government,33.45691647,-8.56654494,Daima,0,Lake Rukwa,Mkombozi,Mbeya,12,1,Chunya,Mbugani,,True,GeoData Consultants Ltd,VWC,,True,,gravity,gravity,gravity,vwc,user-group,pay annually,annually,soft,good,enough,enough,river,river/lake,surface,communal standpipe,communal standpipe,,True,
23987,functional needs repair,0.0,2011-07-17,Un,0,UN,31.45298632,-2.13334776,Mbange,0,Lake Victoria,Miziro,Kagera,18,3,Muleba,Karambi,,True,GeoData Consultants Ltd,VWC,M,True,,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe,,True,
66242,functional needs repair,0.0,2011-03-24,Lvia,0,LVIA,36.23490716,-6.17159079,Nghambe,0,Wami / Ruvu,Bwawani B,Dodoma,1,4,Chamwino,Manchali,,True,GeoData Consultants Ltd,VWC,Chal,True,,mono,mono,motorpump,vwc,user-group,pay per bucket,per bucket,soft,good,insufficient,insufficient,machine dbh,borehole,groundwater,communal standpipe multiple,communal standpipe,,True,
51611,functional needs repair,50.0,2013-02-13,Kiuma,674,KIUMA,36.96195662,-11.3119134,Kwa Said Mohamed,0,Ruvuma / Southern Coast,Nyasa,Ruvuma,10,1,Tunduru,Marumba,1.0,True,GeoData Consultants Ltd,VWC,,False,2011.0,submersible,submersible,submersible,vwc,user-group,pay per bucket,per bucket,soft,good,enough,enough,machine dbh,borehole,groundwater,communal standpipe multiple,communal standpipe,50.0,False,2.0
24757,functional needs repair,0.0,2013-03-16,Government Of Tanzania,980,DWE,37.33476236,-3.30046366,Kwa Kalisti Msaki,0,Pangani,Kariwa Kaskazini,Kilimanjaro,3,4,Moshi Rural,Uru Kusini Mawela,100.0,True,GeoData Consultants Ltd,Water Board,Huru mawela water project,True,1972.0,gravity,gravity,gravity,water board,user-group,never pay,never pay,soft,good,insufficient,insufficient,spring,spring,groundwater,communal standpipe,communal standpipe,0.0,False,41.0
26943,functional needs repair,0.0,2011-03-17,Nethalan,486,DWE,37.23667961,-7.10013213,Kwa Mabiso,0,Wami / Ruvu,Doma B,Morogoro,5,6,Mvomero,Doma,130.0,True,GeoData Consultants Ltd,VWC,,True,1980.0,swn 80,swn 80,handpump,vwc,user-group,never pay,never pay,salty,salty,enough,enough,shallow well,shallow well,groundwater,hand pump,hand pump,0.0,False,31.0
58537,functional needs repair,0.0,2013-02-21,District Council,1001,District Council,37.64666821,-3.79164451,Kwa Abdalah Mkwizu,0,Pangani,Kiverenge,Kilimanjaro,3,2,Mwanga,Lembeni,70.0,True,GeoData Consultants Ltd,Water Board,Ruwini water supply,False,1993.0,gravity,gravity,gravity,water board,user-group,never pay,never pay,soft,good,insufficient,insufficient,spring,spring,groundwater,communal standpipe,communal standpipe,0.0,False,20.0
